robodiferencial
(0,0)
(-4.91977,3.35761)
(-10.4039,6.75541)
(-14.7084,12.3274)
(-17.1021,19.5732)
(-17.2261,27.9924)
(-14.6845,36.8379)
(-9.27725,45.4703)
(-1.11281,53.0921)
(9.49024,59.0301)
(22.3184,62.6481)
(36.8119,63.2175)
(52.0462,60.4198)
(67.4115,53.9667)
(81.9986,43.6933)
(94.8395,29.6646)
(104.965,12.1922)
(111.833,-8.25798)
(114.728,-30.8221)
(113.085,-54.6914)
(106.509,-78.9171)
(94.8089,-102.448)
(78.0237,-124.175)
(56.435,-142.984)
(30.5708,-157.804)
(1.19693,-167.668)
(-31.0931,-171.811)
(-64.7449,-169.495)
(-98.4338,-160.35)
(-130.745,-144.284)
(-160.232,-121.504)
(-185.481,-92.5219)
(-205.176,-58.1498)
(-218.798,-19.482)
(-225.014,22.4199)
(-222.877,65.9046)
(-212.013,109.278)
(-192.392,150.763)
(-164.354,188.567)
(-128.938,221.63)
(-87.2719,248.592)
(-39.9745,267.641)
(11.2866,277.315)
(64.6268,276.792)
(117.992,265.631)
(169.236,243.813)
(216.853,212.333)
(259.047,172.161)
(293.615,123.587)
(318.524,68.1294)
(332.399,7.73086)
(334.258,-55.3902)
(324.476,-119.18)
(303.251,-181.371)
(269.906,-239.566)
(225.076,-291.024)
(170.137,-333.466)
(106.919,-364.899)
(37.7289,-384.78)
(-35.0496,-392.309)
